Time,acc_x,acc_y,acc_z,Pitch,Roll,Yaw
7.900000,0.000004,0.000002,0.000012,0.000012,0.000035,0.000012,
7.950000,0.000004,0.000002,0.000009,0.000012,0.000031,0.000013,
8.000000,0.000005,0.000002,0.000009,0.000013,0.000026,0.000015,
8.050000,0.000004,0.000002,0.000011,0.000012,0.000019,0.000015,
8.100000,0.000004,0.000002,0.000010,0.000010,0.000019,0.000018,
8.150001,0.000004,0.000002,0.000007,0.000007,0.000021,0.000023,
8.200000,0.000006,0.000002,0.000006,0.000008,0.000021,0.000031,
8.250000,0.000004,0.000002,0.000004,0.000009,0.000017,0.000034,
8.300000,0.000005,0.000002,0.000005,0.000008,0.000015,0.000031,
8.350000,0.000005,0.000003,0.000005,0.000003,0.000015,0.000034,
8.400001,0.000004,0.000003,0.000007,0.000006,0.000015,0.000023,
8.450000,0.000004,0.000002,0.000008,0.000006,0.000016,0.000022,
8.500000,0.000004,0.000002,0.000010,0.000006,0.000014,0.000028,
8.550000,0.000004,0.000002,0.000011,0.000005,0.000015,0.000032,
8.600000,0.000003,0.000002,0.000011,0.000005,0.000016,0.000030,
8.650001,0.000004,0.000002,0.000010,0.000015,0.000019,0.000025,
8.700000,0.000002,0.000004,0.000009,0.000017,0.000022,0.000018,
8.750000,0.000002,0.000003,0.000009,0.000021,0.000031,0.000014,
8.800000,0.000002,0.000003,0.000009,0.000024,0.000044,0.000014,
8.850000,0.000003,0.000003,0.000010,0.000025,0.000053,0.000014,
8.900001,0.000003,0.000003,0.000008,0.000023,0.000053,0.000014,
8.950000,0.000003,0.000003,0.000008,0.000023,0.000050,0.000022,
9.000000,0.000004,0.000003,0.000006,0.000025,0.000060,0.000014,
9.050000,0.000003,0.000003,0.000004,0.000028,0.000059,0.000016,
9.100000,0.000004,0.000002,0.000003,0.000029,0.000058,0.000016,
9.150001,0.000004,0.000002,0.000004,0.000018,0.000043,0.000016,
9.200000,0.000004,0.000001,0.000004,0.000017,0.000047,0.000014,
9.250000,0.000004,0.000001,0.000004,0.000014,0.000047,0.000014,
9.300000,0.000003,0.000002,0.000003,0.000012,0.000035,0.000021,
9.350000,0.000003,0.000002,0.000004,0.000012,0.000028,0.000020,
9.400001,0.000003,0.000002,0.000006,0.000012,0.000029,0.000021,
9.450000,0.000002,0.000002,0.000006,0.000012,0.000034,0.000016,
9.500000,0.000002,0.000002,0.000007,0.000011,0.000030,0.000019,
9.550000,0.000002,0.000002,0.000008,0.000009,0.000033,0.000013,
9.600000,0.000003,0.000002,0.000008,0.000015,0.000039,0.000015,
9.650001,0.000002,0.000008,0.000008,0.000031,0.000041,0.000014,
9.700000,0.000003,0.000014,0.000015,0.000078,0.000035,0.000139,
9.750000,0.000006,0.000014,0.000017,0.000077,0.000037,0.000139,
9.800000,0.000006,0.000016,0.000019,0.000083,0.000048,0.000130,
9.850000,0.000008,0.000016,0.000021,0.000085,0.000048,0.000130,
9.900001,0.000006,0.000016,0.000020,0.000094,0.000045,0.000123,
9.950000,0.000007,0.000017,0.000019,0.000094,0.000031,0.000123,
10.000000,0.000007,0.000018,0.000019,0.000096,0.000031,0.000118,
10.050000,0.000006,0.000018,0.000018,0.000094,0.000037,0.000119,
10.100000,0.000006,0.000018,0.000019,0.000083,0.000026,0.000111,
10.150000,0.000006,0.000014,0.000016,0.000050,0.000045,0.000110,
10.200000,0.000011,0.000007,0.000013,0.000021,0.000061,0.000010,
10.250000,0.000339,0.000032,0.000011,0.000095,0.000062,0.000215,
10.300000,0.000745,0.000033,0.000012,0.000082,0.000045,0.000314,
10.350000,0.001645,0.000050,0.000007,0.000082,0.000047,0.002050,
10.400000,0.001849,0.000069,0.000007,0.000065,0.000042,0.002056,
10.450000,0.001855,0.000102,0.000058,0.000158,0.000063,0.002327,
10.500000,0.001938,0.000098,0.000103,0.000156,0.000158,0.003138,
10.550000,0.001648,0.000116,0.000271,0.000198,0.000232,0.004690,
10.600000,0.001380,0.000135,0.000275,0.000188,0.000301,0.005064,
10.650000,0.001119,0.000132,0.000273,0.000463,0.001165,0.005207,
10.700000,0.000806,0.000205,0.000280,0.000456,0.001307,0.005707,
10.750000,0.001608,0.000257,0.000281,0.000483,0.001947,0.008451,
10.800000,0.001653,0.000240,0.000274,0.000547,0.001975,0.008696,
10.850000,0.001391,0.000236,0.000272,0.000547,0.005886,0.011957,
10.900000,0.001544,0.000192,0.000267,0.000788,0.006255,0.012247,
10.950000,0.001804,0.000179,0.000182,0.000712,0.008213,0.013770,
11.000000,0.001205,0.000386,0.000168,0.000914,0.008575,0.012827,
11.050000,0.001061,0.000371,0.000019,0.000842,0.008500,0.013160,
11.100000,0.001601,0.000420,0.000005,0.000859,0.010115,0.014418,
11.150000,0.002225,0.000420,0.000006,0.000670,0.009513,0.012850,
11.200000,0.002785,0.000396,0.000004,0.000689,0.009414,0.047399,
11.250000,0.002786,0.000400,0.000004,0.000648,0.008724,0.049036,
11.300000,0.003312,0.000386,0.000004,0.000623,0.008634,0.048001,
